number,0,1,2,3,4,5,6,7,8
1323,False,False,False,False,False,False,False,False,False
980,False,False,False,False,False,False,False,False,False
3495,False,False,False,False,False,False,False,False,True
2085,False,False,False,True,True,False,True,True,False
5134,False,False,False,False,False,False,False,False,True
3045,True,False,False,False,False,False,False,True,True
3303,True,False,True,True,False,True,True,False,False
1422,True,False,False,False,False,False,False,True,True
973,True,False,True,True,True,True,True,True,True
972,False,False,False,False,False,False,True,False,False
852,False,True,False,True,True,True,False,True,True
4415,True,True,True,True,False,False,True,True,False
1072,True,True,True,False,True,True,True,True,True
3256,True,False,True,False,True,True,True,False,True
3970,True,False,False,True,True,False,True,True,False
1678,True,True,False,False,True,True,True,True,True
2367,True,False,False,False,False,False,False,False,False
1388,False,False,False,True,True,False,False,False,True
3189,False,False,False,False,True,True,False,True,False
751,True,True,True,True,False,False,True,True,True
4276,True,False,False,True,False,True,False,False,False
2813,True,False,False,False,False,False,False,False,True
670,True,False,True,False,False,False,True,False,True
2761,False,False,False,True,False,True,True,False,False
2643,False,False,False,False,False,False,False,False,False
4255,True,False,False,False,False,True,True,True,True
6305,True,False,False,False,True,True,True,True,True
2135,False,True,False,False,True,True,True,True,False
6650,False,False,False,False,False,False,False,True,True
5677,True,False,False,True,True,True,False,True,True
1868,True,True,False,False,False,True,False,True,True
4543,True,False,False,True,False,True,True,True,False
6619,False,False,False,False,False,False,False,False,False
294,True,False,False,False,False,True,False,True,True
5104,True,True,False,False,False,False,True,True,True
6711,True,False,False,False,False,False,False,False,False
6657,False,False,False,False,False,False,False,False,False
3501,False,False,False,False,False,False,False,False,False
2493,False,False,False,False,False,False,True,False,True
1671,False,False,False,False,True,True,False,False,False
6699,True,True,False,False,True,False,True,False,False
6059,False,False,False,False,False,False,False,False,False
5852,True,False,False,False,True,True,True,True,True
4643,False,False,False,False,False,False,False,False,False
687,True,False,False,False,False,False,True,False,False
1662,False,True,False,False,False,True,False,True,False
5817,True,False,True,True,True,True,True,False,False
